Price,Close,High,Low,Open,Volume
Ticker,VOO,VOO,VOO,VOO,VOO
Date,,,,,
2015-01-02,154.7767333984375,155.86116242350874,153.8401867565998,155.50789689482315,1865000
2015-01-05,152.05746459960938,153.96342623207502,151.704211601774,153.840188821794,2734700
2015-01-06,150.56224060058594,152.7064405825929,149.81464313712848,152.28745105211567,2245300
2015-01-07,152.44357299804688,152.7311143954011,151.35093323792884,151.7616994995255,2305600
2015-01-08,155.12173461914062,155.3106835378301,153.6840530967722,153.7333430289879,1740600
2015-01-09,153.81549072265625,155.54892439627884,153.3390004791082,155.51606861957367,2525200
2015-01-12,152.6736297607422,154.11953529575825,152.1396385346653,154.00452122234506,1847500
2015-01-13,152.2710418701172,154.78492911599545,151.0798098106711,153.8073035124672,2158500
2015-01-14,151.37562561035156,151.4906396981888,149.609335146652,150.42265711209814,5216300
2015-01-15,149.96255493164062,152.1889137880058,149.8475408693379,151.88495073811845,1940700
2015-01-16,151.8192138671875,152.0492419724615,149.59285519792448,149.77359335715283,1472800
2015-01-20,152.19712829589844,152.72290866998793,150.8169595147609,152.49288053979834,1637600
2015-01-21,152.9939727783203,153.41296231807667,151.40842128997235,151.7945425143493,1586500
2015-01-22,155.33535766601562,155.39285841919954,152.4764282404887,153.70050357227504,6074900
2015-01-23,154.48097229003906,155.28608319957053,154.2755891563897,155.03962093207298,3109800
2015-01-26,154.78494262695312,154.86708835628488,153.5690654911674,154.27558394849487,2018000
2015-01-27,152.75576782226562,153.77446018462456,151.99995936336984,152.92007182887912,1979100
2015-01-28,150.7430419921875,153.8895137866436,150.6280279138134,153.84843464388263,2530800
2015-01-29,152.20533752441406,152.41893147246225,149.69144995228066,150.94839373834736,4338200
2015-01-30,150.3322296142578,152.29569169544774,150.03647742675014,151.12911710460932,2302500
2015-02-02,152.05746459960938,152.19712363612052,149.08352062493,150.75123078554117,3397800
2015-02-03,154.27561950683594,154.3331328126563,152.63255411440292,152.91188475816807,1435000
2015-02-04,153.74978637695312,154.73563530293728,153.33902016965632,153.65120649859062,1861200
2015-02-05,155.31076049804688,155.42577457540506,154.3249237584632,154.35777955102515,1033800
2015-02-06,154.87535095214844,156.13229500333514,154.39886047314516,155.6722386885994,1454700
2015-02-09,154.16880798339844,154.9328272707296,153.8073316401307,154.29203285697042,2289300
2015-02-10,155.81187438964844,156.03367916383675,154.32490240399133,155.12179002098867,1798000
2015-02-11,155.91867065429688,156.28014701330216,155.08892721973874,155.6886425232195,1744400
2015-02-12,157.3645477294922,157.44669345544781,156.4772911542729,156.6662401131206,2008500
2015-02-13,158.05467224121094,158.0957513824434,157.29065286378147,157.50424684835883,1073100
2015-02-17,158.30934143066406,158.45722382830508,157.56174369984146,157.79178437790455,1700400
2015-02-18,158.3421630859375,158.375018867066,157.73422458254657,157.96425265721558,1863000
2015-02-19,158.23538208007812,158.5311342941248,157.6438776519848,157.80818165187924,1017600
2015-02-20,159.1965789794922,159.2294473019281,157.28240660434255,157.84105526542444,1374000
2015-02-23,159.1554718017578,159.1554718017578,158.58040161637484,158.9583120442493,1497700
2015-02-24,159.62379455566406,159.77988776305338,158.90905263422835,159.12265914353722,1244200
2015-02-25,159.4512939453125,159.91135029550452,159.13912001373672,159.4923730913501,1983600
2015-02-26,159.2705078125,159.5005359183889,158.72830586895714,159.3691002404464,994200
2015-02-27,158.7200469970703,159.41835450653647,158.711836186409,159.18832645213112,966600
2015-03-02,159.76345825195312,159.76345825195312,158.80226653885688,158.81047735268734,1016600
2015-03-03,159.0815887451172,159.3937751770489,158.30113520088184,159.34448522160577,1388100
2015-03-04,158.4160919189453,158.59683004719426,157.51240127770058,158.5557509206669,1497500
2015-03-05,158.588623046875,158.82687448393767,158.12856686776314,158.67899212031415,1135800
2015-03-06,156.34585571289062,158.1860931156707,156.04189268441934,157.73424771146222,1815600
2015-03-09,157.01124572753906,157.29878704047985,156.43617563724533,156.51833387968205,1132000
2015-03-10,154.43167114257812,155.7872072477005,154.4234603306407,155.73791730489438,2390500
2015-03-11,154.0701446533203,154.83417612467355,154.0126439173099,154.66164884546907,1857500
2015-03-12,156.05831909179688,156.0911748761107,154.61241387016616,154.62063721793794,2646900
2015-03-13,155.1053009033203,155.918609858363,154.13588626983824,155.82824080384847,1792200
2015-03-16,157.22486877441406,157.22486877441406,155.72146303502822,155.7543188141256,1054700
2015-03-17,156.6908721923828,157.01949267593943,155.9514980416624,156.4854890910061,1460900
2015-03-18,158.55577087402344,159.18013105480787,155.67219634140707,156.23083241859456,2287400
2015-03-19,157.8246612548828,158.43260001868646,157.5289089556804,158.194348494987,1372000
2015-03-20,159.2541046142578,159.69772671677595,158.66260012050495,158.71189007238553,1350100
2015-03-23,158.9683837890625,159.76933705577014,158.94361307768375,159.24087421377678,707100
2015-03-24,158.04351806640625,159.2408275635131,157.98572395663618,158.85273639954158,1587700
2015-03-25,155.7397918701172,158.43164736213444,155.70676845652102,158.24173438497505,1216700
2015-03-26,155.3517303466797,156.18570714473765,154.53425895880522,155.13704661834637,1906200
2015-03-27,155.67376708984375,155.88019811951781,155.0957627266664,155.26915773584454,1837000
2015-03-30,157.6142120361328,157.87018447788162,156.65636910609598,156.68113981984268,1414700
2015-03-31,156.22694396972656,158.35731293380343,156.20217326313053,156.87100754031425,2765200
2015-04-01,155.72332763671875,156.2022491962982,154.79852054211108,156.2022491962982,3379900
2015-04-02,156.18569946289062,156.63159750690917,155.45907086451274,155.62421315507368,1803500
2015-04-06,157.28392028808594,157.74632376006716,155.31044022759846,155.42604109559377,1242500
2015-04-07,156.86280822753906,157.98579350710995,156.86280822753906,157.28392298254693,1372300
2015-04-08,157.4325408935547,157.7628254537976,156.73067045360312,157.08573832543516,1412100
2015-04-09,158.11788940429688,158.29954968778978,156.85453272335403,157.2591294096853,794800
2015-04-10,158.98489379882812,159.00967711047224,158.15916979684084,158.32432467687698,1056900
2015-04-13,158.26657104492188,159.39780927530174,158.20877689715888,158.83632281336367,1227800
2015-04-14,158.55552673339844,158.72066901424444,157.52337172867544,158.06008729131204,2647800
2015-04-15,159.28213500976562,159.71151496493673,158.9105617752825,158.98487390226975,934900
2015-04-16,159.22433471679688,159.67022006098395,158.78670207543956,158.99313304210042,823300
2015-04-17,157.374755859375,158.34911686563632,156.6811506275246,158.1509385424433,2059300
2015-04-20,158.81153869628906,159.11705262189219,158.16747482095994,158.2665576942255,1430300
2015-04-21,158.65463256835938,159.5794395547245,158.37388939029142,159.45558597603284,1089500
2015-04-22,159.4390106201172,159.59590016306487,158.12611275999566,158.94358388399084,1125400
2015-04-23,159.85195922851562,160.40519298031805,158.95192279347376,159.07577639479052,956400
2015-04-24,160.1739501953125,160.42992263888655,159.79412418212175,160.2069862135765,978300
2015-04-27,159.5381317138672,160.80148836358256,159.36472413862,160.71065822408124,898200
2015-04-28,160.0335693359375,160.06660535228568,158.48946945969755,159.50510647030387,1103800
2015-04-29,159.38124084472656,159.90970367036223,158.65459973464715,159.20783327089484,1408900
2015-04-30,157.79588317871094,159.1996116521872,157.15181937794478,158.8693144469545,2506100
2015-05-01,159.44735717773438,159.513404029906,158.4152018687111,158.50603203988726,1921200
2015-05-04,159.94273376464844,160.44642590070873,159.77759148715532,159.89319234135533,1060000
2015-05-05,158.0765838623047,160.02529275093684,157.9857537302247,159.69499563448844,1138300
2015-05-06,157.4408416748047,158.86108839673128,156.49951653116054,158.6133686011297,1588100
2015-05-07,158.0765838623047,158.456409796787,157.08571771205285,157.37471351445518,1320700
2015-05-08,160.14915466308594,160.3390676402505,159.5546324219602,159.61243914518923,1322900
2015-05-11,159.38124084472656,160.35558906092612,159.33169942350253,160.13264006587036,1090100
2015-05-12,158.91885375976562,159.42254592649172,157.90320412222928,158.66286872458605,1852700
2015-05-13,158.9683837890625,159.86841990128514,158.75368749104933,159.3317043553482,589000
2015-05-14,160.62811279296875,160.6859195294182,159.6372463643304,159.89321882677737,902300
